,missing_count,missing_pct
mean_ibi,0,0.0
mean_hr,0,0.0
rolling_mean_acc,0,0.0
rolling_hr_range,0,0.0
hr_slope,0,0.0
rolling_std_hr,0,0.0
rolling_mean_hr,0,0.0
hr_delta,0,0.0
relative_position,0,0.0
cos_time_of_night,0,0.0
sin_time_of_night,0,0.0
time_of_night,0,0.0
zero_crossing,0,0.0
acceleration_jerk,0,0.0
movement_ratio,0,0.0
movement_count,0,0.0
rms,0,0.0
energy,0,0.0
variance,0,0.0
std_acc,0,0.0
mean_acc,0,0.0
sd2,0,0.0
sd1,0,0.0
lf_hf,0,0.0
hf,0,0.0
lf,0,0.0
pnn50,0,0.0
nn50,0,0.0
sdsd,0,0.0
rmssd,0,0.0
sdnn,0,0.0
rolling_std_acc,0,0.0
