timestamp,relative_position,sd2,sin_time_of_night,rolling_mean_hr,rmssd,time_of_night,energy,rolling_hr_range,acceleration_jerk,rolling_mean_acc,rms,lf,rolling_std_acc,zero_crossing,hr_slope,hf,lf_hf,hr_delta
33.021,0.000000,0.000000,1.000000,0.000000,0.000000,6.000000,1646.809216,0.000000,0.018996,1.046250,1.047794,0.000000,0.000000,197.000000,0.000000,0.000000,0.000000,0.000000
64.135,0.001042,0.000000,1.000000,0.000000,0.000000,6.000000,1641.436032,0.000000,0.015866,1.044293,1.046083,0.000000,0.001956,90.000000,0.000000,0.000000,0.000000,0.000000
95.209,0.002085,0.000000,0.999990,0.000000,0.000000,6.016667,1697.862656,0.000000,0.009809,1.050806,1.063911,0.000000,0.009348,638.000000,0.000000,0.000000,0.000000,0.000000
126.376,0.003128,0.000000,0.999990,0.000000,0.000000,6.016667,1592.932864,0.000000,0.040851,1.044534,1.030512,0.000000,0.014940,325.000000,0.000000,0.000000,0.000000,0.000000
157.489,0.004171,0.000000,0.999961,0.000000,0.000000,6.033333,1393.586048,0.000000,0.024080,1.018179,0.963876,0.000000,0.041571,503.000000,0.000000,0.000000,0.000000,0.000000
188.611,0.005213,0.000000,0.999961,0.000000,0.000000,6.033333,1405.489024,0.000000,0.036080,0.985711,0.967983,0.000000,0.029530,653.000000,0.000000,0.000000,0.000000,0.000000
219.706,0.006256,0.000000,0.999914,0.000000,0.000000,6.050000,1692.473856,0.000000,0.040105,0.995062,1.062222,0.000000,0.042746,363.000000,0.000000,0.000000,0.000000,0.000000
250.861,0.007299,44.632780,0.999914,17.114094,37.416572,6.050000,1679.162496,85.570472,0.014469,1.026532,1.058036,0.000000,0.042510,581.000000,17.114094,0.000000,0.000000,85.570472
282.002,0.008342,44.632780,0.999847,34.228188,37.416572,6.066666,1674.153984,85.570472,0.003449,1.056540,1.056457,0.000000,0.000898,663.000000,25.671142,0.000000,0.000000,0.000000
313.166,0.009384,27.422842,0.999847,48.695196,42.163704,6.066666,1672.379776,85.570472,0.007304,1.056654,1.055897,0.000000,0.000771,660.000000,23.024052,0.000000,0.000000,-13.235451
344.300,0.010427,27.422842,0.999762,63.162192,42.163704,6.083333,1668.359424,85.570472,0.009306,1.055623,1.054627,0.000000,0.000772,737.000000,13.143460,0.000000,0.000000,0.000000
375.406,0.011470,27.422842,0.999762,77.629200,42.163704,6.083333,1670.428928,13.235451,0.009851,1.055206,1.055281,0.000000,0.000504,627.000000,-3.970635,0.000000,0.000000,0.000000
406.538,0.012513,46.118796,0.999657,75.726368,64.351976,6.100000,1670.472192,13.235451,0.006719,1.055020,1.055295,0.000000,0.000304,682.000000,-1.902827,0.000000,0.000000,3.721313
437.699,0.013555,39.139356,0.999657,73.909728,52.243776,6.100000,1672.482560,4.152229,0.004308,1.055463,1.055930,0.000000,0.000325,699.000000,1.202577,0.000000,0.000000,0.430915
468.830,0.014598,32.307388,0.999533,74.403360,40.000000,6.116667,1671.691392,4.152229,0.005369,1.055618,1.055680,0.000000,0.000267,667.000000,0.908847,0.000000,0.000000,-1.684104
499.977,0.015641,32.307388,0.999533,74.896984,40.000000,6.116667,1672.330752,4.152229,0.004379,1.055819,1.055882,0.000000,0.000112,663.000000,0.368305,0.000000,0.000000,0.000000
531.134,0.016684,32.307388,0.999390,75.390600,40.000000,6.133333,1672.295040,1.684104,0.006205,1.055794,1.055870,0.000000,0.000093,671.000000,0.419048,0.000000,0.000000,0.000000
562.263,0.017726,32.307388,0.999390,75.139968,40.000000,6.133333,1670.605824,1.684104,0.003282,1.055684,1.055337,0.000000,0.000249,666.000000,0.336821,0.000000,0.000000,0.000000
593.380,0.018769,42.982416,0.999229,73.677464,66.666664,6.150000,1670.872960,5.628387,0.003171,1.055532,1.055421,0.000000,0.000225,667.000000,-1.125677,0.000000,0.000000,-5.628387
624.531,0.019812,27.543302,0.999229,72.585448,51.639780,6.150000,1670.341120,5.628387,0.003500,1.055332,1.055253,0.000000,0.000070,659.000000,-1.654855,0.000000,0.000000,0.168304
655.663,0.020855,42.271592,0.999048,71.803936,51.639780,6.166666,1670.005248,5.628387,0.003355,1.055269,1.055147,0.000000,0.000113,635.000000,-1.327533,0.000000,0.000000,1.552459
686.828,0.021897,76.423832,0.999048,71.595944,51.949928,6.166666,1670.570368,5.628387,0.003310,1.055236,1.055326,17.234170,0.000072,655.000000,0.035902,18.772444,0.194539,2.867729
717.924,0.022940,73.484896,0.998848,71.338880,50.767088,6.183333,1670.341632,4.588493,0.003377,1.055237,1.055254,18.531654,0.000072,659.000000,1.310623,18.910714,0.521472,0.245468
