Original Operator,NNG Operator,Target,Staging Usage,Peak% (Staging),Op Cycles,Network% (cycles),NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network% (MAC),Util% (MAC),Name
Conv2D,Conv2D,NPU,1984,17.22222222222222,2494,1.4741520965587356,2494,270,0,0,1552,25920,0.9199632014719411,16.23897353648757,residual_tcn_classifier_1/stem_relu_1/Relu;residual_tcn_classifier_1/stem_proj_1/BiasAdd;residual_tcn_classifier_1/stem_proj_1/convolution/Squeeze;residual_tcn_classifier_1/stem_proj_1/Squeeze;residual_tcn_classifier_1/stem_proj_1/convolution
Conv2D,Relu,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,residual_tcn_classifier_1/stem_relu_1/Relu;residual_tcn_classifier_1/stem_proj_1/BiasAdd;residual_tcn_classifier_1/stem_proj_1/convolution/Squeeze;residual_tcn_classifier_1/stem_proj_1/Squeeze;residual_tcn_classifier_1/stem_proj_1/convolution
Reshape,MemoryCopy,NPU,1440,12.5,3864,2.2839309146363087,3864,456,0,0,0,1440,0.05110906674844117,0.5822981366459627,residual_tcn_classifier_1/stem_relu_1/Relu;residual_tcn_classifier_1/stem_proj_1/BiasAdd;residual_tcn_classifier_1/stem_proj_1/convolution/Squeeze;residual_tcn_classifier_1/stem_proj_1/Squeeze;residual_tcn_classifier_1/stem_proj_1/convolution_copy
Conv2D,Conv2D,NPU,2880,25.0,8512,5.0312681018075205,6064,360,0,0,8512,207360,7.359705611775529,38.06390977443609,residual_tcn_classifier_1/tcn_block_1_d1_relu1_1/Relu;residual_tcn_classifier_1/tcn_block_1_d1_conv1_1/BiasAdd;residual_tcn_classifier_1/tcn_block_1_d1_conv1_1/convolution/Squeeze;residual_tcn_classifier_1/tcn_block_1_d1_conv1_1/Squeeze;residual_tcn_classifier_1/tcn_block_1_d1_conv1_1/convolution
Conv2D,Relu,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,residual_tcn_classifier_1/tcn_block_1_d1_relu1_1/Relu;residual_tcn_classifier_1/tcn_block_1_d1_conv1_1/BiasAdd;residual_tcn_classifier_1/tcn_block_1_d1_conv1_1/convolution/Squeeze;residual_tcn_classifier_1/tcn_block_1_d1_conv1_1/Squeeze;residual_tcn_classifier_1/tcn_block_1_d1_conv1_1/convolution
Conv2D,Conv2D,NPU,4320,37.5,8528,5.04072537267558,6064,360,0,0,8528,207360,7.359705611775529,37.99249530956848,residual_tcn_classifier_1/tcn_block_1_d1_conv2_1/BiasAdd;residual_tcn_classifier_1/tcn_block_1_d1_conv2_1/convolution/Squeeze;residual_tcn_classifier_1/tcn_block_1_d1_conv2_1/Squeeze;residual_tcn_classifier_1/tcn_block_1_d1_conv2_1/convolution
Add,Add,NPU,2880,25.0,4320,2.5534631343759973,4320,540,0,0,0,0,0.0,0.0,residual_tcn_classifier_1/tcn_block_1_d1_out_relu_1/Relu;residual_tcn_classifier_1/tcn_block_1_d1_add_1/Add;residual_tcn_classifier_1/stem_proj_1/convolution/Squeeze;residual_tcn_classifier_1/stem_relu_1/Relu;residual_tcn_classifier_1/stem_proj_1/BiasAdd;residual_tcn_classifier_1/stem_proj_1/Squeeze;residual_tcn_classifier_1/tcn_block_1_d1_conv2_1/convolution/Squeeze;residual_tcn_classifier_1/tcn_block_1_d1_conv2_1/BiasAdd;residual_tcn_classifier_1/tcn_block_1_d1_conv2_1/Squeeze
Add,Relu,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,residual_tcn_classifier_1/tcn_block_1_d1_out_relu_1/Relu;residual_tcn_classifier_1/tcn_block_1_d1_add_1/Add;residual_tcn_classifier_1/stem_proj_1/convolution/Squeeze;residual_tcn_classifier_1/stem_relu_1/Relu;residual_tcn_classifier_1/stem_proj_1/BiasAdd;residual_tcn_classifier_1/stem_proj_1/Squeeze;residual_tcn_classifier_1/tcn_block_1_d1_conv2_1/convolution/Squeeze;residual_tcn_classifier_1/tcn_block_1_d1_conv2_1/BiasAdd;residual_tcn_classifier_1/tcn_block_1_d1_conv2_1/Squeeze
Conv2D,Conv2D,NPU,2880,25.0,8528,5.04072537267558,6064,360,0,0,8528,207360,7.359705611775529,37.99249530956848,residual_tcn_classifier_1/tcn_block_2_d2_conv1_1/convolution/BatchToSpaceND
Add,Add,NPU,2880,25.0,4320,2.5534631343759973,4320,360,0,0,1440,0,0.0,0.0,residual_tcn_classifier_1/tcn_block_2_d2_relu1_1/Relu;residual_tcn_classifier_1/tcn_block_2_d2_conv1_1/BiasAdd
